125572.SZ,海马转债,129.9384,18.33,39477,0.412,17.878,53.859
125528.SZ,柳工转债,129.9479,26.87,39574,0.3948,26.2018,13.0571
110002.SH,南山转债,107.9288,16.89,39581,2.0075,21.25,15.5224
110003.SH,新钢转债,99.9342,8.22,39696,0.7865,1.0184,37
110004.SH,厦工转债,125.4507,7.5,40067,0.1283,49.5318,43.75
110005.SH,西洋转债,131.9479,14.55,40077,0.1605,9.1475,26.5716
110006.SH,龙盛转债,120.1171,8.9,40081,0.1726,9.3517,28.5089
125969.SZ,安泰转债,129.926,22.3,40098,0.1762,42.5748,24.9459
110007.SH,博汇转债,127.8342,10.34,40102,0.1059,31.4581,43.9559
110008.SH,王府转债,135.9836,33.56,40116,0.1372,47.994,42.1979
110009.SH,双良转债,120.5649,21.11,40312,0.3867,33.6792,44.095
113001.SH,中行转债,100.9767,3.88,40347,1.8915,3.1963,11.0858
125731.SZ,美丰转债,106.4574,7.36,40354,1.1667,22.7066,23.2225
126630.SZ,铜陵转债,125.9722,15.68,40396,0.5755,1.2432,21.9927
113002.SH,工行转债,109.9849,4.2,40431,0.8231,1.4362,15.1646
128233.SZ,塔牌转债,129.7518,13.31,40437,0.2215,3.5451,33.0007
126729.SZ,燕京转债,129.9726,21.86,40485,0.0762,56.4717,48.7075
110011.SH,歌华转债,126.9737,15.09,40522,0.4762,37.4978,40.6849
110012.SH,海运转债,123.4832,4.58,40563,0.2122,41.5765,25.8467
110013.SH,国投转债,118.0799,7.29,40589,0.2393,40,18.2968
125887.SZ,中鼎转债,129.9584,25.31,40603,0.2236,28.4329,31.612
110015.SH,石化转债,107.9822,9.73,40609,0.5915,3.664,19.0934
110016.SH,川投转债,116.0049,17.3,40633,0.5608,23.8095,27.753
129031.SZ,巨轮转2,115.1737,8.09,40759,0.4214,21.3473,8.7877
125089.SZ,深机转债,104.0556,5.66,40765,1.3405,61.3524,17.3795
110017.SH,中海转债,103.0036,8.7,40767,0.3278,46.3644,23.9571
110018.SH,国电转债,101.9795,2.67,40788,1.0888,30,8.4347
110019.SH,恒丰转债,107.4597,6.88,41011,0.4168,31.1344,4.3467
113003.SH,重工转债,105.9895,6.05,41078,0.4593,10.5179,18.7368
110020.SH,南山转债,99.9466,6.92,41213,0.8062,1.0644,6.332
110022.SH,同仁转债,114.9795,17.72,41261,0.7785,55.2166,12.8214
127001.SZ,海直转债,114.9726,7.1,41281,0.8235,1.8118,5.8782
128001.SZ,泰尔转债,111.0771,15.34,41302,2.3282,6.25,8.6173
110023.SH,民生转债,105.4753,10.23,41362,0.3682,5.9342,12.4239
128002.SZ,东华转债,123.9658,23.7,41505,0.0673,23.0428,-1.3697
128004.SZ,久立转债,100.0253,19.96,41712,2.7897,26.694,15.5235
128005.SZ,齐翔转债,106.443,14.34,41772,0.3809,63.68,3.3362
110025.SH,国金转债,105.9712,19.97,41793,1.1335,21.13,11.4198
128006.SZ,长青转债,106.1471,13.48,41829,1.958,2.43,10.0344
110027.SH,东方转债,107.7781,12,41845,1.2781,3.07,2.506
110028.SH,冠城转债,111.9607,6.2,41852,0.6325,19.07,14.5011
128007.SZ,通鼎转债,129.9518,17.5,41887,0.2213,38.45,15.8765
128008.SZ,齐峰转债,117.9644,10.2,41922,0.2194,25.59,10.962
110029.SH,浙能转债,104.9781,5.66,41940,0.8615,2.24,5.3329
113501.SH,洛钼转债,116.6395,8.78,41989,0.3216,24.96,12.5256
128009.SZ,歌尔转债,119.8795,26.43,41999,0.1197,21.5,27.5457
113008.SH,电气转债,131.0018,10.72,42051,0.2842,1.14,47.4802
123001.SZ,蓝标转债,99.9699,15.3,42377,0.0582,7.09,27.6063
110033.SH,国贸转债,110.2877,9.03,42388,0.1081,31,47.6256
110034.SH,九州转债,117.9918,18.78,42398,0.1011,26.28,32.6013
113009.SH,广汽转债,117.9923,21.99,42404,0.2469,12.18,27.3412
128010.SZ,顺昌转债,129.9548,9.44,42423,0.6375,0.98,56.4515
110035.SH,白云转债,120.2401,12.88,42444,0.0841,40,27.7285
128011.SZ,汽模转债,129.9685,11.63,42453,0.2163,7.31,32.7013
113010.SH,江南转债,125.0744,19,42465,0.1101,6.11,33.7559
128012.SZ,辉丰转债,118.353,29.7,42507,0.9877,18.21,27.5148
113011.SH,光大转债,101.989,4.36,42830,0.4999,29.03,9.2652
113012.SH,骆驼转债,111.4827,16.78,42838,0.1581,26.69,11.3955
128014.SZ,永东转债,100.4774,30.77,42867,1.3229,29.13,27.3676
128015.SZ,久其转债,117.1836,12.97,42913,2.3814,24.18,17.9183
113015.SH,隆基转债,123.4844,32.35,43059,0.0091,14.94,2.8006
128017.SZ,金禾转债,118.6378,23.92,43066,0.0013,44.25,12.8238
110039.SH,宝信转债,97.1344,18.46,43074,0.0079,55.5,11.4501
110040.SH,生益转债,96.5052,17.34,43080,0.0057,15.85,17.7072
128020.SZ,水晶转债,100.0786,29.87,43081,0.0044,19.81,15.575
128023.SZ,亚太转债,97.7811,10.44,43095,0.0245,19.8,15.4373
128021.SZ,兄弟转债,99.9743,18.17,43096,0.0013,29.71,12.8845
128025.SZ,特一转债,97.9811,20.2,43097,0.0054,31.05,9.8634
128022.SZ,众信转债,99.997,11.05,43097,0.0034,31.77,4.8192
113503.SH,泰晶转债,107.9792,25.41,43102,0.0093,42.58,7.289
128026.SZ,众兴转债,100.2259,11.74,43103,0.0563,29.72,5.533
110042.SH,航电转债,102.9879,14.29,43115,0.1968,20.83,7.9547
113017.SH,吉视转债,102.3836,2.98,43115,0.3995,16.11,-0.5856
128029.SZ,太阳转债,112.9786,8.85,43116,0.0431,47.34,2.8069
123003.SZ,蓝思转债,94.9763,36.59,43117,0.3304,12.65,29.8959
128028.SZ,赣锋转债,99.9753,71.89,43119,0.0613,24.67,23.6309
128027.SZ,崇达转债,106.9679,30.93,43122,0.0187,60.63,11.1189
128032.SZ,双环转债,103.4837,10.07,43125,0.0825,8.77,14.6557
123004.SZ,铁汉转债,106.9671,12.39,43126,0.0594,40.73,19.0657
128033.SZ,迪龙转债,103.2721,13.35,43129,0.0387,62.86,12.878
123006.SZ,东财转债,124.9775,13.69,43129,0.4036,23.91,3.5689
123005.SZ,万信转债,114.9647,13.11,43130,0.0807,24.79,0.0622
113018.SH,常熟转债,105.9844,7.61,43137,0.1924,9,4.878
128034.SZ,江银转债,98.9736,9.16,43145,0.1389,4.36,17.9818
128035.SZ,大族转债,111.9847,52.7,43164,0.1958,15.18,9.2891
