2019/4/9,-20.57,3239.66,-0.0005
2019/4/8,-0.88,3244.81,0.0094
2019/4/4,17.31,3246.57,0.0124
2019/4/3,2.58,3216.3,0.002
2019/4/2,2.62,3176.82,0.0258
2019/4/1,66.89,3170.36,0.032
2019/3/29,-11.61,3090.76,-0.0092
2019/3/28,1.79,2994.94,0.0085
2019/3/27,9.96,3022.72,-0.0151
2019/3/26,-75.16,2997.09,-0.0197
2019/3/25,-1.09,3043.03,0
2019/3/22,-12.02,0,0.0035
2019/3/21,8.94,3101.45,-0.0001
2019/3/20,-0.22,3090.64,-0.0018
2019/3/19,32.66,3090.97,0.0247
2019/3/18,20.09,3096.42,0.0104
2019/3/15,10.97,3021.75,-0.012
2019/3/14,-5.05,2990.68,-0.0109
2019/3/13,7.36,3026.95,0.011
2019/3/12,-8.07,3060.31,0.0192
2019/3/11,-22.78,3026.99,-0.044
2019/3/8,-25.5,2969.86,0.0014
2019/3/7,-8.95,3106.42,0.0157
2019/3/6,19.12,3102.1,0.0088
2019/3/5,-8.16,3054.25,0.0112
2019/3/4,10.27,3027.57,0.018
2019/3/1,13.27,2994.01,-0.0044
2019/2/28,29.01,2940.95,0.0042
2019/2/27,7.85,2953.82,-0.0067
2019/2/26,-25.31,2941.52,0.056
2019/2/25,35.9,2961.28,0.0191
2019/2/22,14.74,2804.23,-0.0034
2019/2/21,29.33,2751.8,0.002
2019/2/20,12.59,2761.22,0.0005
2019/2/19,21.49,2755.65,0.0268
2019/2/18,6.68,2754.36,-0.0137
2019/2/15,30.8,2682.39,-0.0005
2019/2/14,51.61,2719.7,0.0184
2019/2/13,25.14,2721.07,0.0068
