43880,24.026,2975.4019,0.0452,2984.9716,0,1,2979.52,3.81331E+11
43879,-34.018,2984.9716,2.2837,2983.6224,1,0,2981.41,3.74999E+11
43878,32.0207,2983.6224,0.3763,2917.0077,1,0,2924.99,3.67014E+11
43875,25.1656,2917.0077,-0.7115,2906.0735,1,0,2899.87,3.0808E+11
43874,8.073,2906.0735,0.8693,2926.8991,0,1,2927.14,3.34526E+11
43873,13.7128,2926.8991,0.387,2901.6744,1,0,2895.56,2.97534E+11
43872,13.9665,2901.6744,0.505,2890.4878,1,0,2894.54,3.02957E+11
43871,-11.7283,2890.4878,0.3298,2875.9636,1,0,2860.5,3.4152E+11
43868,-8.2683,2875.9636,1.7183,2866.5097,1,0,2858.93,3.62384E+11
43867,60.8312,2866.5097,1.2503,2818.0878,1,0,2826.89,3.58583E+11
43866,-7.8613,2818.0878,1.3355,2783.2875,1,0,2792.37,3.49184E+11
43865,0.3209,2783.2875,-7.7245,2746.6056,1,0,2685.27,3.74068E+11
43864,135.9117,2746.6056,-2.7518,2976.5281,0,1,2716.7,2.5702E+11
43853,-61.4246,2976.5281,0.2822,3060.7545,0,1,3037.95,3.2749E+11
43852,-7.7137,3060.7545,-1.4098,3052.1419,1,0,3038.49,2.78457E+11
43851,-42.0252,3052.1419,0.6598,3095.7873,0,1,3085.79,2.86268E+11
43850,12.4999,3095.7873,0.046,3075.4955,1,0,3082.11,2.71122E+11
43847,18.3794,3075.4955,-0.5164,3074.0814,1,0,3081.46,2.42273E+11
43846,15.7177,3074.0814,-0.5402,3090.0379,0,1,3095.73,2.36843E+11
43845,-4.9725,3090.0379,-0.2808,3106.8204,0,1,3103.17,2.32913E+11
43844,20.5079,3106.8204,0.7528,3115.5696,0,1,3120.67,2.71542E+11
43843,25.7467,3115.5696,-0.0837,3092.2907,1,0,3091.49,2.58524E+11
43840,14.9407,3092.2907,0.9126,3094.8819,0,1,3102.29,2.41556E+11
43839,32.6052,3094.8819,-1.221,3066.8925,1,0,3082.64,2.71716E+11
43838,-4.1355,3066.8925,0.6938,3104.8015,0,1,3094.24,3.06517E+11
43837,19.7102,3104.8015,-0.0122,3083.4083,1,0,3085.49,2.88159E+11
43836,8.0511,3083.4083,-0.0458,3083.7858,0,1,3070.91,3.31183E+11
43833,14.1492,3083.7858,1.1499,3085.1976,0,1,3089.02,2.89992E+11
43832,50.4477,3085.1976,0.3322,3050.124,1,0,3066.34,3.27197E+11
43830,-1.6306,3050.124,1.1643,3040.0239,1,0,3036.39,2.26764E+11
43829,14.7324,3040.0239,-0.0771,3005.0355,1,0,2998.17,2.67383E+11
43826,32.99,3005.0355,-1.4039,2962.7513,0,1,3006.85,2.58119E+11
43822,9.1308,2962.7513,-0.402,3004.9376,0,1,2999.04,2.18484E+11
43819,26.1485,3004.9376,0.0007,3017.0658,0,1,3019.64,2.23305E+11
43818,20.8271,3017.0658,-0.1779,3017.0444,1,0,3017.15,2.20688E+11
43817,23.0577,3017.0444,1.2743,3022.4219,0,1,3021.47,2.59174E+11
43816,49.9027,3022.4219,0.5633,2984.3925,1,0,2985.26,3.02091E+11
43815,-3.7349,2984.3925,1.7827,2967.6764,1,0,2970.97,2.37667E+11
43812,34.5694,2967.6764,-0.2981,2915.6983,1,0,2937.78,2.34037E+11
43811,40.6035,2915.6983,0.2434,2924.4173,0,1,2926.34,1.66044E+11
43810,13.5407,2924.4173,0.0974,2917.3157,1,0,2922.6,1.75716E+11
43809,18.9045,2917.3157,0.0846,2914.4775,1,0,2908.94,1.80617E+11
43808,25.6758,2914.4775,0.4327,2912.0136,1,0,2914.46,1.74546E+11
43805,20.8741,2912.0136,0.7419,2899.4685,1,0,2902.28,1.49507E+11
43804,19.314,2899.4685,-0.2282,2878.1157,1,0,2886.52,1.59737E+11
43803,4.2292,2878.1157,0.3092,2884.6988,0,1,2876.91,1.35879E+11
43802,13.3429,2884.6988,0.1332,2875.8072,1,0,2869.88,1.35279E+11
43801,17.6026,2875.8072,-0.6129,2871.9813,1,0,2874.45,1.39352E+11
43798,-2.9655,2871.9813,-0.465,2889.6934,0,1,2885.97,1.40371E+11
43797,7.6002,2889.6934,-0.133,2903.1947,0,1,2902.36,1.22617E+11
43796,5.8052,2903.1947,0.0307,2907.0602,0,1,2905.4,1.3745E+11
43795,108.7528,2907.0602,0.7237,2906.1688,1,0,2912.52,1.65497E+11
43794,36.5338,2906.1688,-0.6319,2885.2884,1,0,2885.61,1.74235E+11
43791,-4.2513,2885.2884,-0.2547,2903.6379,0,1,2906.24,1.80594E+11
43790,-6.0246,2903.6379,-0.7818,2911.0534,0,1,2902.55,1.39851E+11
43789,-8.3479,2911.0534,0.8521,2933.9908,0,1,2928.11,1.58543E+11
43788,9.2983,2933.9908,0.6176,2909.2002,1,0,2904.28,1.55771E+11
43787,-0.5924,2909.2002,-0.6367,2891.3431,1,0,2889.55,1.44677E+11
43784,7.2752,2891.3431,0.1593,2909.8697,0,1,2911.35,1.52576E+11
43783,-1.0073,2909.8697,-0.3287,2905.2409,1,0,2907.74,1.51576E+11
43782,-16.4752,2905.2409,0.1666,2914.8232,0,1,2913.02,1.46944E+11
43781,-0.0877,2914.8232,-1.8288,2909.9746,1,0,2913,1.39061E+11
43780,-0.6026,2909.9746,-0.4878,2964.1849,0,1,2949.96,1.66285E+11
43777,-6.0556,2964.1849,0.004,2978.7144,0,1,2993.98,1.73867E+11
43776,5.2728,2978.7144,-0.4334,2978.5955,1,0,2978.15,1.55835E+11
43775,9.2198,2978.5955,0.5401,2991.5622,0,1,2992.04,1.83985E+11
43774,31.6863,2991.5622,0.5846,2975.4919,1,0,2977.7,2.03692E+11
43773,22.6769,2975.4919,0.995,2958.1992,1,0,2964.58,1.8871E+11
43770,32.7862,2958.1992,-0.3492,2929.0561,1,0,2924.34,1.75631E+11
43769,31.894,2929.0561,-0.5029,2939.3209,0,1,2944.84,1.81802E+11
