113020,桐昆转债,99.9003,12.63,43446,0.192,13.33,13.5913,0,1
128081,海亮转债,109.9756,9.83,43815,0.0226,45.13,7.1819,1,0
123012,万顺转债,92.4651,6.47,43341,1.7253,27.68,2.8931,0,1
128088,深南转债,129.9803,149.25,43846,0.0642,19.74,10.4265,1,0
128066,亚泰转债,98.8516,17.49,43599,0.0085,47.24,16.8846,0,1
128065,雅化转债,94.9736,8.98,43595,0.0631,1.53,27.4046,0,1
123036,先导转债,129.9745,39.15,43840,0.0349,31.09,16.2211,1,0
128082,华锋转债,112.2741,13.17,43836,0.0346,1.7,2.3368,1,0
128077,华夏转债,116.1685,10.52,43776,0.0203,35.95,4.4688,1,0
113509,新泉转债,96.6344,25.34,43273,0.0306,33.1,8.687,0,1
128044,岭南转债,96.0819,10.7,43347,0.8722,35.34,6.8113,0,1
123030,九洲转债,112.2671,5.7,43720,0.0413,20.78,2.6647,1,0
110063,鹰19转债,123.3719,3.3,43833,0.0918,19.95,8.5274,1,0
128054,中宠转债,109.7193,37.97,43538,0.1276,3.64,11.6184,1,0
128017,金禾转债,118.6378,23.92,43066,0.0013,44.25,12.8238,1,0
113025,明泰转债,97.4393,11.49,43592,0.0305,4.84,12.9656,0,1
113557,森特转债,120.0748,10.26,43840,0.0051,35.39,7.9469,1,0
113541,荣晟转债,99.9799,18.72,43690,0.0634,19.7,8.8916,0,1
110056,亨通转债,108.9762,21.79,43571,0.0181,15.65,8.9891,1,0
128051,光华转债,96.464,17.03,43474,0.4371,16.04,10.8682,0,1
123040,乐普转债,125.0827,32.39,43853,0.0264,12.12,25.1547,1,0
110047,山鹰转债,99.9781,3.34,43444,0.4967,8.7,4.6252,0,1
128080,顺丰转债,114.9879,40.41,43808,0.0181,60.34,27.9963,1,0
113028,环境转债,120.1885,10.44,43654,0.0306,46.44,-5.7502,1,0
128034,江银转债,98.9736,9.16,43145,0.1389,4.36,17.9818,0,1
113011,光大转债,101.989,4.36,42830,0.4999,29.03,9.2652,1,0
113542,好客转债,103.8548,16.62,43700,0.0556,41.04,18.7377,1,0
113514,威帝转债,101.8626,5.92,43325,0.2832,16.83,-0.7045,1,0
113534,鼎胜转债,96.9759,20.8,43585,0.0208,31.9,19.9475,0,1
128028,赣锋转债,99.9753,71.89,43119,0.0613,24.67,23.6309,0,1
128084,木森转债,119.9705,12.95,43840,0.0236,35.04,13.8985,1,0
110034,九州转债,117.9918,18.78,42398,0.1011,26.28,32.6013,1,0
113558,日月转债,124.4748,19.68,43844,0.0323,19.75,14.5935,1,0
113549,白电转债,107.9778,8.99,43810,0.0334,15.45,10.9336,1,0
128076,金轮转债,106.9715,14.96,43777,0.0157,20,4.666,1,0
128029,太阳转债,112.9786,8.85,43116,0.0431,47.34,2.8069,1,0
128075,远东转债,104.9679,5.79,43769,0.0162,24.94,12.61,1,0
110042,航电转债,102.9879,14.29,43115,0.1968,20.83,7.9547,1,0
123034,通光转债,103.0658,7.98,43797,0.0217,50.51,4.3047,1,0
113030,东风转债,110.9693,6.9,43850,0.0107,5.71,16.061,1,0
128058,拓邦转债,119.9638,5.64,43563,0.0621,6.98,7.5577,1,0
113008,电气转债,131.0018,10.72,42051,0.2842,1.14,47.4802,1,0
113553,金牌转债,121.9715,62.69,43837,0.0047,43.84,15.1353,1,0
110064,建工转债,113.8693,4.65,43846,0.0711,20,13.7438,1,0
128083,新北转债,117.9836,11.9,43830,0.0353,9.38,17.213,1,0
123035,利德转债,108.9644,7.04,43808,0.0517,30.48,21.931,1,0
113545,金能转债,101.1726,11.55,43776,0.0346,20,16.3321,1,0
110033,国贸转债,110.2877,9.03,42388,0.1081,31,47.6256,1,0
110053,苏银转债,108.9885,7.9,43558,0.039,5.54,18.925,1,0
128021,兄弟转债,99.9743,18.17,43096,0.0013,29.71,12.8845,0,1
110052,贵广转债,119.9558,8.13,43553,0.0121,22.31,-6.1996,1,0
128073,哈尔转债,110.977,5.8,43719,0.0383,20,7.3289,1,0
128063,未来转债,114.9699,8.74,43579,0.0154,53.43,-7.5388,1,0
127015,希望转债,107.4819,19.78,43865,0.0493,29.72,32.8366,1,0
